Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Lead Data Scientist H/F (Lyon),Lead Data Scientist H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GroupM | Data Scientist,GroupM | Data Scientist - Paris (75) - Indeed.fr,GroupM,GroupM,99,"3,9","3,8","3,5","3,4","3,5","3,8"
Data Analyst H/F / Freelance,Data Analyst H/F / Freelance - Lyon (69) - Indeed.fr,DCS EASYWARE,DCS EASYWARE,17,"2,9","3,1","2,6","2,9","2,6","2,5"
Stage Data Scientist Intern (H/F),Stage Data Scientist Intern (H/F) - Hauts-de-Seine - Indeed.fr,Saint-Gobain,Saint-Gobain,2,"4,0","3,8","3,8","3,5","3,5","3,8"
Data Scientist - CDI,Data Scientist - CDI - Rueil-Malmaison (92) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Data Marketing H/F (Lyon),Consultant Data Marketing H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
Data Scientist Senior - Marketing & Sales (H/F),Data Scientist Senior - Marketing & Sales (H/F) - Boulogne-Billancourt (92) - Indeed.fr,Renault,Renault,3,"4,0","3,9","3,7","3,5","3,6","3,8"
DATA Engineer (H/F),DATA Engineer (H/F) - Lyon (69) - Indeed.fr,LIP - Solutions RH,LIP Interim,17,"4,4","4,3","3,9","3,7","4,2","4,3"
Data Engineer/ Développeur Odoo,Data Engineer/ Développeur Odoo - Paris 2e (75) - Indeed.fr,Advise,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Engineer Senior H/F (Lyon),Data Engineer Senior H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
CDI- Global Head of Clinical Data Management H/F,CDI- Global Head of Clinical Data Management H/F - Craponne (69) - Indeed.fr,bioMerieux,bioMerieux,355,"3,8","3,6","3,8","3,2","3,2","3,6"
Administrateur BIG DATA (H/F),Administrateur BIG DATA (H/F) - Paris (75) - Indeed.fr,LOGWARE,LOGWARE,4,"4,3","4,7","4,0","4,3","4,3","4,3"
Consultant Datascientist H/F,Consultant Datascientist H/F - Lyon (69) - Indeed.fr,Micropole,MICROPOLE,11,"3,5","3,8","3,4","3,0","3,0","3,6"
Backend Developer - Data Engineer - H/F,Backend Developer - Data Engineer - H/F - 92100 Boulogne-Billancourt - Indeed.fr,SIDETRADE,Sidetrade,6,"3,5","2,8","2,4","3,0","2,4","3,2"
Informatics Management Consultant,Informatics Management Consultant - Paris (75) - Indeed.fr,Next Phase Recruitment,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Manager de projets - PMO,Manager de projets - PMO - Île-de-France - Indeed.fr,Exolys,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
INGENIEUR DATA F/H,INGENIEUR DATA F/H - Lyon 1er (69) - Indeed.fr,GROUPE SEB,Groupe SEB,82,"4,2","4,1","4,0","3,6","3,6","4,0"
Data Engineer - H/F,Data Engineer - H/F - 75008 Paris 8e - Indeed.fr,POLYCONSEIL,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Field Application Scientist,Field Application Scientist - Lyon (69) - Indeed.fr,Twist Bioscience,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant / Consultant confirmé - Data Scientist H/F,Consultant / Consultant confirmé - Data Scientist H/F - Lyon (69) - Indeed.fr,Exponentiel,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur - Big Data,Ingénieur - Big Data - 92400 Courbevoie - Indeed.fr,Key Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,Digital Source,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST JUNIOR,DATA SCIENTIST JUNIOR - Lyon (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
