Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
"Senior Project Analyst, Language Services","Senior Project Analyst, Language Services - Lyon (69) - Indeed.fr",Icon plc,ICON plc,264,"3,6","3,5","3,5","3,1","3,0","3,3"
"Intern, Data Analyst","Intern, Data Analyst - Paris (75) - Indeed.fr",Aptus Health,Aptus Health,6,"2,7","4,2","3,8","2,3","2,2","2,7"
Business Analyst F/H,Business Analyst F/H - Lyon 9e (69) - Indeed.fr,CEGID SA Lyon,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst (H/F),Data Analyst (H/F) - Rungis (94) - Indeed.fr,Thales Group,Thales,1,"4,0","4,0","4,0","3,5","3,5","3,8"
Data Analyst Tableau Junior,Data Analyst Tableau Junior - Vincennes (94) - Indeed.fr,Synaltic,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alternance - Licence Management des Equipes et Développement Durable (LYON) H/F - H/F,Alternance - Licence Management des Equipes et Développement Durable (LYON) H/F - H/F - Lyon (69) - Indeed.fr,EDF,EDF,1,"4,0","3,9","3,9","3,6","3,5","3,7"
Analyste Fonctionnel SI,Analyste Fonctionnel SI - 69007 Lyon 7e - Indeed.fr,INOVEN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst Fidélisation & Animation Clients F/H,Data Analyst Fidélisation & Animation Clients F/H - Ivry-sur-Seine (94) - Indeed.fr,Fnac,Fnac,452,"4,0","3,8","3,5","3,2","3,6","3,9"
Data analyste master data sur lyon 7 (H/F),Data analyste master data sur lyon 7 (H/F) - 69007 Lyon 7e - Indeed.fr,Manpower,Manpower,14,"3,8","3,7","3,3","3,2","3,5","3,6"
Data Analyst Connaissance Clients,Data Analyst Connaissance Clients - Paris (75) - Indeed.fr,Le Groupe La Poste,Le Groupe La Poste,1,"3,8","3,7","3,4","3,3","3,3","3,5"
Analyste développeur Datastage - Cognos,Analyste développeur Datastage - Cognos - Lyon (69) - Indeed.fr,2s2i Solutions & Services.,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STAGE - Data analyst - H/F,STAGE - Data analyst - H/F - Suresnes (92) - Indeed.fr,AXA,AXA,1,"3,9","3,8","3,6","3,4","3,5","3,7"
PRICING ANALYST H/F,PRICING ANALYST H/F - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst Fidélisation & Animation Clients F/H,Data Analyst Fidélisation & Animation Clients F/H - Ivry-sur-Seine (94) - Indeed.fr,Fnac-Darty,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur sur un centre de service Digital - Lyon H/F,Développeur sur un centre de service Digital - Lyon H/F - Lyon (69) - Indeed.fr,Viveris,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst junior,Data Analyst junior - Paris (75) - Indeed.fr,Bien'ici,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst (H/F),Data Analyst (H/F) - Paris (75) - Indeed.fr,Allianz France,Allianz,128,"3,8","3,7","3,5","3,3","3,3","3,5"
