Titre,Titre2,Nom,Nom2,Avis,NoteGlobale,Équilibre_vie_professionnelle_personnelle,Salaire_Avantages_sociaux,Sécurité_emploi_Évolution_carrière,Management,Culture_d'entreprise,Metier
Business Analyst H/F,Business Analyst H/F - 92100 Boulogne-Billancourt - Indeed.fr,TechSell,Techsell,36.0,"3,6","3,7","3,4","3,0","3,6","3,7",data_analyst
IS Hosting Architecture Analyst,IS Hosting Architecture Analyst - Lyon (69) - Indeed.fr,Solvay,Solvay,266.0,"3,9","3,7","3,8","3,4","3,4","3,6",data_analyst
Data Analyst (H/F) / Freelance,Data Analyst (H/F) / Freelance - Lyon (69) - Indeed.fr,insitoo-it,,,,,,,,,data_analyst
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - Lyon (69) - Indeed.fr,SQLI France,SQLI,21.0,"3,4","3,6","3,0","3,4","2,9","3,4",data_analyst
Business Analyst H/F,Business Analyst H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11.0,"4,4","4,2","4,0","4,1","4,2","4,4",data_analyst
Business Analyst F/H,Business Analyst F/H - Villeurbanne (69) - Indeed.fr,AMILTONE,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Arcueil (94) - Indeed.fr,Actimage,ACTIMAGE,6.0,"3,7","4,2","3,3","3,7","3,3","3,5",data_analyst
Data Analyst H/F / Freelance,Data Analyst H/F / Freelance - Lyon (69) - Indeed.fr,DCS EASYWARE,DCS EASYWARE,17.0,"2,9","3,1","2,6","2,9","2,6","2,5",data_analyst
"Senior Project Analyst, Language Services","Senior Project Analyst, Language Services - Lyon (69) - Indeed.fr",Icon plc,ICON plc,264.0,"3,6","3,5","3,5","3,1","3,0","3,3",data_analyst
"Intern, Data Analyst","Intern, Data Analyst - Paris (75) - Indeed.fr",Aptus Health,Aptus Health,6.0,"2,7","4,2","3,8","2,3","2,2","2,7",data_analyst
Business Analyst F/H,Business Analyst F/H - Lyon 9e (69) - Indeed.fr,CEGID SA Lyon,,,,,,,,,data_analyst
Data Analyst (H/F),Data Analyst (H/F) - Rungis (94) - Indeed.fr,Thales Group,Thales,1.0,"4,0","4,0","4,0","3,5","3,5","3,8",data_analyst
Data Analyst Tableau Junior,Data Analyst Tableau Junior - Vincennes (94) - Indeed.fr,Synaltic,,,,,,,,,data_analyst
Alternance - Licence Management des Equipes et Développement Durable (LYON) H/F - H/F,Alternance - Licence Management des Equipes et Développement Durable (LYON) H/F - H/F - Lyon (69) - Indeed.fr,EDF,EDF,1.0,"4,0","3,9","3,9","3,6","3,5","3,7",data_analyst
Analyste Fonctionnel SI,Analyste Fonctionnel SI - 69007 Lyon 7e - Indeed.fr,INOVEN,,,,,,,,,data_analyst
Data Analyst Fidélisation & Animation Clients F/H,Data Analyst Fidélisation & Animation Clients F/H - Ivry-sur-Seine (94) - Indeed.fr,Fnac,Fnac,452.0,"4,0","3,8","3,5","3,2","3,6","3,9",data_analyst
Data analyste master data sur lyon 7 (H/F),Data analyste master data sur lyon 7 (H/F) - 69007 Lyon 7e - Indeed.fr,Manpower,Manpower,14.0,"3,8","3,7","3,3","3,2","3,5","3,6",data_analyst
Data Analyst Connaissance Clients,Data Analyst Connaissance Clients - Paris (75) - Indeed.fr,Le Groupe La Poste,Le Groupe La Poste,1.0,"3,8","3,7","3,4","3,3","3,3","3,5",data_analyst
STAGE - Data analyst - H/F,STAGE - Data analyst - H/F - Suresnes (92) - Indeed.fr,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Data Analyst Fidélisation & Animation Clients F/H,Data Analyst Fidélisation & Animation Clients F/H - Ivry-sur-Seine (94) - Indeed.fr,Fnac-Darty,,,,,,,,,data_analyst
Data Analyst junior,Data Analyst junior - Paris (75) - Indeed.fr,Bien'ici,,,,,,,,,data_analyst
Data Analyst (H/F),Data Analyst (H/F) - Paris (75) - Indeed.fr,Allianz France,Allianz,128.0,"3,8","3,7","3,5","3,3","3,3","3,5",data_analyst
Sr. Salesforce Analyst,Sr. Salesforce Analyst - Saint-Priest (69) - Indeed.fr,ResMed,ResMed,93.0,"3,8","3,6","4,0","3,0","3,2","3,5",data_analyst
Analyste Décisionnel F/H,Analyste Décisionnel F/H - Lyon 9e (69) - Indeed.fr,KEYRUS,Keyrus,10.0,"3,8","3,4","3,0","2,8","3,2","3,2",data_analyst
