Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
STAGIAIRE WEB DATA ANALYST,STAGIAIRE WEB DATA ANALYST - PARIS (75) - INDEED.FR,Rakuten France,,,,,,,,
DATA ANALYST - DRIVE TO WEB,DATA ANALYST - DRIVE TO WEB - LA DÉFENSE (92) - INDEED.FR,Dentsu Aegis Network,,,,,,,,
IT GRADUATE PROGRAM - DATA ENGINEER (H/F),IT GRADUATE PROGRAM - DATA ENGINEER (H/F) - LYON (69) - INDEED.FR,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9"
IT BUSINESS ANALYST,IT BUSINESS ANALYST - LYON (69) - INDEED.FR,Interpol,Interpol,15.0,"4,0","4,0","4,0","3,5","3,9","4,1"
PRICING ANALYSTE INFORMATIQUE H/F,PRICING ANALYSTE INFORMATIQUE H/F - LYON (69) - INDEED.FR,FED IT,,,,,,,,
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - 92100 BOULOGNE-BILLANCOURT - INDEED.FR,TechSell,Techsell,36.0,"3,6","3,7","3,4","3,0","3,6","3,7"
IS HOSTING ARCHITECTURE ANALYST,IS HOSTING ARCHITECTURE ANALYST - LYON (69) - INDEED.FR,Solvay,Solvay,266.0,"3,9","3,7","3,8","3,4","3,4","3,6"
DATA ANALYST (H/F) / FREELANCE,DATA ANALYST (H/F) / FREELANCE - LYON (69) - INDEED.FR,insitoo-it,,,,,,,,
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - LYON (69) - INDEED.FR,SQLI France,SQLI,21.0,"3,4","3,6","3,0","3,4","2,9","3,4"
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - 92300 LEVALLOIS-PERRET - INDEED.FR,Jellysmack,Jellysmack,11.0,"4,4","4,2","4,0","4,1","4,2","4,4"
BUSINESS ANALYST F/H,BUSINESS ANALYST F/H - VILLEURBANNE (69) - INDEED.FR,AMILTONE,,,,,,,,
DATA ANALYST,DATA ANALYST - ARCUEIL (94) - INDEED.FR,Actimage,ACTIMAGE,6.0,"3,7","4,2","3,3","3,7","3,3","3,5"
DATA ANALYST H/F / FREELANCE,DATA ANALYST H/F / FREELANCE - LYON (69) - INDEED.FR,DCS EASYWARE,DCS EASYWARE,17.0,"2,9","3,1","2,6","2,9","2,6","2,5"
"SENIOR PROJECT ANALYST, LANGUAGE SERVICES","SENIOR PROJECT ANALYST, LANGUAGE SERVICES - LYON (69) - INDEED.FR",Icon plc,ICON plc,264.0,"3,6","3,5","3,5","3,1","3,0","3,3"
"INTERN, DATA ANALYST","INTERN, DATA ANALYST - PARIS (75) - INDEED.FR",Aptus Health,Aptus Health,6.0,"2,7","4,2","3,8","2,3","2,2","2,7"
BUSINESS ANALYST F/H,BUSINESS ANALYST F/H - LYON 9E (69) - INDEED.FR,CEGID SA Lyon,,,,,,,,
